"Date ","Winning Numbers ","Powerball® ","PowerPlay® "
" 7/13/2016 "," 3 - 15 - 29 - 54 - 57 "," 10 "," 3 "," "

" 7/9/2016 "," 10 - 28 - 32 - 61 - 64 "," 12 "," 3 "," "

" 7/6/2016 "," 2 - 24 - 31 - 57 - 66 "," 18 "," 3 "," "

" 7/2/2016 "," 10 - 34 - 39 - 59 - 63 "," 4 "," 2 "," "

" 6/29/2016 "," 23 - 29 - 37 - 60 - 64 "," 6 "," 2 "," "

" 6/25/2016 "," 3 - 27 - 36 - 56 - 69 "," 25 "," 2 "," "

" 6/22/2016 "," 14 - 40 - 42 - 43 - 52 "," 17 "," 3 "," "

" 6/18/2016 "," 2 - 23 - 41 - 53 - 63 "," 11 "," 2 "," "

" 6/15/2016 "," 4 - 22 - 24 - 31 - 33 "," 10 "," 2 "," "

" 6/11/2016 "," 20 - 27 - 36 - 41 - 58 "," 7 "," 2 "," "

" 6/8/2016 "," 12 - 25 - 37 - 60 - 69 "," 20 "," 3 "," "

" 6/4/2016 "," 16 - 20 - 22 - 43 - 64 "," 17 "," 2 "," "

" 6/1/2016 "," 23 - 30 - 33 - 40 - 69 "," 12 "," 5 "," "

" 5/28/2016 "," 6 - 33 - 34 - 58 - 59 "," 12 "," 2 "," "

" 5/25/2016 "," 11 - 24 - 41 - 59 - 64 "," 15 "," 3 "," "

" 5/21/2016 "," 5 - 7 - 9 - 23 - 32 "," 26 "," 4 "," "

" 5/18/2016 "," 23 - 25 - 39 - 54 - 67 "," 11 "," 3 "," "

" 5/14/2016 "," 13 - 27 - 47 - 64 - 65 "," 9 "," 3 "," "

" 5/11/2016 "," 20 - 32 - 52 - 66 - 69 "," 23 "," 3 "," "

" 5/7/2016 "," 5 - 25 - 26 - 44 - 66 "," 9 "," 2 "," "

" 5/4/2016 "," 30 - 47 - 57 - 66 - 69 "," 3 "," 3 "," "

" 4/30/2016 "," 3 - 12 - 16 - 32 - 34 "," 14 "," 3 "," "

" 4/27/2016 "," 2 - 25 - 33 - 39 - 64 "," 17 "," 2 "," "

" 4/23/2016 "," 19 - 35 - 46 - 59 - 62 "," 13 "," 5 "," "

" 4/20/2016 "," 12 - 25 - 30 - 52 - 62 "," 8 "," 3 "," "

" 4/16/2016 "," 3 - 18 - 25 - 32 - 51 "," 3 "," 2 "," "

" 4/13/2016 "," 30 - 33 - 35 - 38 - 64 "," 22 "," 3 "," "

" 4/9/2016 "," 14 - 22 - 23 - 41 - 61 "," 9 "," 3 "," "

" 4/6/2016 "," 4 - 28 - 49 - 60 - 65 "," 25 "," 2 "," "

" 4/2/2016 "," 9 - 28 - 30 - 40 - 61 "," 3 "," 2 "," "

" 3/30/2016 "," 24 - 44 - 53 - 55 - 63 "," 19 "," 2 "," "

" 3/26/2016 "," 11 - 23 - 42 - 52 - 68 "," 6 "," 3 "," "

" 3/23/2016 "," 5 - 8 - 15 - 22 - 49 "," 25 "," 3 "," "

" 3/19/2016 "," 11 - 23 - 43 - 54 - 60 "," 3 "," 3 "," "

" 3/16/2016 "," 10 - 12 - 13 - 46 - 50 "," 21 "," 3 "," "

" 3/12/2016 "," 11 - 28 - 50 - 57 - 62 "," 23 "," 2 "," "

" 3/9/2016 "," 14 - 23 - 32 - 34 - 68 "," 3 "," 3 "," "

" 3/5/2016 "," 3 - 27 - 34 - 59 - 69 "," 19 "," 2 "," "

" 3/2/2016 "," 12 - 13 - 44 - 52 - 62 "," 6 "," 2 "," "

" 2/27/2016 "," 10 - 11 - 21 - 22 - 53 "," 18 "," 3 "," "

" 2/24/2016 "," 21 - 31 - 64 - 65 - 67 "," 5 "," 3 "," "

" 2/20/2016 "," 11 - 12 - 15 - 16 - 54 "," 25 "," 5 "," "

" 2/17/2016 "," 7 - 17 - 27 - 29 - 40 "," 25 "," 2 "," "

" 2/13/2016 "," 7 - 15 - 18 - 19 - 36 "," 20 "," 2 "," "

" 2/10/2016 "," 2 - 3 - 40 - 50 - 62 "," 5 "," 2 "," "

" 2/6/2016 "," 4 - 13 - 31 - 36 - 52 "," 8 "," 3 "," "

" 2/3/2016 "," 26 - 28 - 31 - 60 - 67 "," 23 "," 3 "," "

" 1/30/2016 "," 5 - 12 - 16 - 31 - 43 "," 18 "," 4 "," "

" 1/27/2016 "," 3 - 12 - 40 - 52 - 67 "," 21 "," 2 "," "

" 1/23/2016 "," 22 - 32 - 34 - 40 - 69 "," 19 "," 4 "," "

" 1/20/2016 "," 5 - 39 - 44 - 47 - 69 "," 24 "," 5 "," "

" 1/16/2016 "," 3 - 51 - 52 - 61 - 64 "," 6 "," 2 "," "

" 1/13/2016 "," 4 - 8 - 19 - 27 - 34 "," 10 "," 2 "," "

" 1/9/2016 "," 16 - 19 - 32 - 34 - 57 "," 13 "," 3 "," "

" 1/6/2016 "," 2 - 11 - 47 - 62 - 63 "," 17 "," 3 "," "

" 1/2/2016 "," 5 - 6 - 15 - 29 - 42 "," 10 "," 2 "," "

" 12/29/2015 "," 1 - 2 - 10 - 31 - 67 "," 12 "," 2 "," "

" 12/26/2015 "," 1 - 12 - 16 - 27 - 66 "," 14 "," 2 "," "

" 12/22/2015 "," 1 - 11 - 14 - 25 - 32 "," 16 "," 2 "," "

" 12/19/2015 "," 1 - 10 - 13 - 24 - 31 "," 18 "," 2 "," "

" 12/15/2015 "," 1 - 12 - 15 - 28 - 34 "," 19 "," 2 "," "

" 12/12/2015 "," 1 - 11 - 14 - 27 - 36 "," 20 "," 2 "," "

" 12/8/2015 "," 1 - 10 - 13 - 26 - 35 "," 21 "," 2 "," "

" 12/5/2015 "," 1 - 11 - 14 - 29 - 38 "," 22 "," 2 "," "

" 12/2/2015 "," 1 - 10 - 13 - 28 - 37 "," 23 "," 2 "," "

" 11/28/2015 "," 1 - 11 - 14 - 27 - 36 "," 24 "," 2 "," "

" 11/25/2015 "," 1 - 10 - 13 - 26 - 35 "," 25 "," 2 "," "

" 11/21/2015 "," 1 - 11 - 14 - 29 - 38 "," 26 "," 2 "," "

" 11/18/2015 "," 1 - 10 - 13 - 28 - 37 "," 27 "," 2 "," "

" 11/14/2015 "," 1 - 10 - 13 - 27 - 36 "," 28 "," 2 "," "

" 11/11/2015 "," 1 - 10 - 13 - 26 - 35 "," 29 "," 2 "," "

" 11/7/2015 "," 1 - 10 - 13 - 25 - 34 "," 30 "," 2 "," "

" 11/4/2015 "," 1 - 10 - 13 - 24 - 33 "," 31 "," 2 "," "

" 10/31/2015 "," 1 - 10 - 13 - 23 - 32 "," 32 "," 2 "," "

" 10/28/2015 "," 1 - 10 - 13 - 22 - 31 "," 33 "," 2 "," "

" 10/24/2015 "," 1 - 10 - 13 - 21 - 30 "," 34 "," 2 "," "

" 10/21/2015 "," 1 - 10 - 13 - 20 - 29 "," 35 "," 2 "," "

" 10/17/2015 "," 1 - 10 - 13 - 19 - 28 "," 36 "," 2 "," "

" 10/14/2015 "," 1 - 10 - 13 - 18 - 27 "," 37 "," 2 "," "

" 10/10/2015 "," 1 - 10 - 13 - 17 - 26 "," 38 "," 2 "," "

" 10/7/2015 "," 1 - 10 - 13 - 16 - 25 "," 39 "," 2 "," "

" 10/3/2015 "," 1 - 10 - 13 - 15 - 24 "," 40 "," 2 "," "

" 9/30/2015 "," 1 - 10 - 13 - 14 - 23 "," 41 "," 2 "," "

" 9/26/2015 "," 1 - 10 - 13 - 13 - 22 "," 42 "," 2 "," "

" 9/22/2015 "," 1 - 10 - 13 - 12 - 21 "," 43 "," 2 "," "

" 9/19/2015 "," 1 - 10 - 13 - 11 - 20 "," 44 "," 2 "," "

" 9/15/2015 "," 1 - 10 - 13 - 10 - 19 "," 45 "," 2 "," "

" 9/12/2015 "," 1 - 10 - 13 - 9 - 18 "," 46 "," 2 "," "

" 9/8/2015 "," 1 - 10 - 13 - 8 - 17 "," 47 "," 2 "," "

" 9/5/2015 "," 1 - 10 - 13 - 7 - 16 "," 48 "," 2 "," "

" 9/1/2015 "," 1 - 10 - 13 - 6 - 15 "," 49 "," 2 "," "

" 8/31/2015 "," 1 - 10 - 13 - 5 - 14 "," 50 "," 2 "," "

" 8/28/2015 "," 1 - 10 - 13 - 4 - 13 "," 51 "," 2 "," "

" 8/24/2015 "," 1 - 10 - 13 - 3 - 12 "," 52 "," 2 "," "

" 8/21/2015 "," 1 - 10 - 13 - 2 - 11 "," 53 "," 2 "," "

" 8/18/2015 "," 1 - 10 - 13 - 1 - 10 "," 54 "," 2 "," "

" 8/15/2015 "," 1 - 10 - 13 - 0 - 9 "," 55 "," 2 "," "

" 8/11/2015 "," 1 - 10 - 12 - 15 - 28 "," 16 "," 2 "," "

" 8/8/2015 "," 1 - 10 - 12 - 14 - 27 "," 17 "," 2 "," "

" 8/4/2015 "," 1 - 10 - 12 - 13 - 26 "," 18 "," 2 "," "

" 7/31/2015 "," 1 - 10 - 12 - 12 - 25 "," 19 "," 2 "," "

" 7/28/2015 "," 1 - 10 - 12 - 11 - 24 "," 20 "," 2 "," "

" 7/24/2015 "," 1 - 10 - 12 - 10 - 23 "," 21 "," 2 "," "

" 7/21/2015 "," 1 - 10 - 12 - 9 - 22 "," 22 "," 2 "," "

" 7/17/2015 "," 1 - 10 - 12 - 8 - 21 "," 23 "," 2 "," "

" 7/14/2015 "," 1 - 10 - 12 - 7 - 20 "," 24 "," 2 "," "

" 7/10/2015 "," 1 - 10 - 12 - 6 - 19 "," 25 "," 2 "," "

" 7/7/2015 "," 1 - 10 - 12 - 5 - 18 "," 26 "," 2 "," "

" 7/3/2015 "," 1 - 10 - 12 - 4 - 17 "," 27 "," 2 "," "

" 6/30/2015 "," 1 - 10 - 12 - 3 - 16 "," 28 "," 2 "," "

" 6/26/2015 "," 1 - 10 - 12 - 2 - 15 "," 29 "," 2 "," "

" 6/23/2015 "," 1 - 10 - 12 - 1 - 14 "," 30 "," 2 "," "

" 6/19/2015 "," 1 - 10 - 12 - 0 - 13 "," 31 "," 2 "," "

" 6/16/2015 "," 1 - 10 - 11 - 15 - 27 "," 4 "," 2 "," "

" 6/12/2015 "," 1 - 10 - 11 - 14 - 26 "," 5 "," 2 "," "

" 6/9/2015 "," 1 - 10 - 11 - 13 - 25 "," 6 "," 2 "," "

" 6/5/2015 "," 1 - 10 - 11 - 12 - 24 "," 7 "," 2 "," "

" 6/2/2015 "," 1 - 10 - 11 - 11 - 23 "," 8 "," 2 "," "

" 5/30/2015 "," 1 - 10 - 11 - 10 - 22 "," 9 "," 2 "," "

" 5/27/2015 "," 1 - 10 - 11 - 9 - 21 "," 10 "," 2 "," "

" 5/23/2015 "," 1 - 10 - 11 - 8 - 20 "," 11 "," 2 "," "

" 5/20/2015 "," 1 - 10 - 11 - 7 - 19 "," 12 "," 2 "," "

" 5/16/2015 "," 1 - 10 - 11 - 6 - 18 "," 13 "," 2 "," "

" 5/13/2015 "," 1 - 10 - 11 - 5 - 17 "," 14 "," 2 "," "

" 5/9/2015 "," 1 - 10 - 11 - 4 - 16 "," 15 "," 2 "," "

" 5/6/2015 "," 1 - 10 - 11 - 3 - 15 "," 16 "," 2 "," "

" 5/2/2015 "," 1 - 10 - 11 - 2 - 14 "," 17 "," 2 "," "

" 4/29/2015 "," 1 - 10 - 11 - 1 - 13 "," 18 "," 2 "," "

" 4/25/2015 "," 1 - 10 - 10 - 14 - 26 "," 12 "," 2 "," "

" 4/22/2015 "," 1 - 10 - 10 - 13 - 25 "," 13 "," 2 "," "

" 4/18/2015 "," 1 - 10 - 10 - 12 - 24 "," 14 "," 2 "," "

" 4/15/2015 "," 1 - 10 - 10 - 11 - 23 "," 15 "," 2 "," "

" 4/11/2015 "," 1 - 10 - 10 - 10 - 22 "," 16 "," 2 "," "

" 4/8/2015 "," 1 - 10 - 10 - 9 - 21 "," 17 "," 2 "," "

" 4/4/2015 "," 1 - 10 - 10 - 8 - 20 "," 18 "," 2 "," "

" 3/31/2015 "," 1 - 10 - 10 - 7 - 19 "," 19 "," 2 "," "

" 3/28/2015 "," 1 - 10 - 10 - 6 - 18 "," 20 "," 2 "," "

" 3/24/2015 "," 1 - 10 - 10 - 5 - 17 "," 21 "," 2 "," "

" 3/21/2015 "," 1 - 10 - 10 - 4 - 16 "," 22 "," 2 "," "

" 3/18/2015 "," 1 - 10 - 10 - 3 - 15 "," 23 "," 2 "," "

" 3/14/2015 "," 1 - 10 - 10 - 2 - 14 "," 24 "," 2 "," "

" 3/11/2015 "," 1 - 10 - 10 - 1 - 13 "," 25 "," 2 "," "

" 3/7/2015 "," 1 - 10 - 10 - 0 - 12 "," 26 "," 2 "," "

" 2/28/2015 "," 1 - 10 - 9 - 14 - 25 "," 10 "," 2 "," "

" 2/25/2015 "," 1 - 10 - 9 - 13 - 24 "," 11 "," 2 "," "

" 2/21/2015 "," 1 - 10 - 9 - 12 - 23 "," 12 "," 2 "," "

" 2/18/2015 "," 1 - 10 - 9 - 11 - 22 "," 13 "," 2 "," "

" 2/14/2015 "," 1 - 10 - 9 - 10 - 21 "," 14 "," 2 "," "

" 2/11/2015 "," 1 - 10 - 9 - 9 - 20 "," 15 "," 2 "," "

" 2/7/2015 "," 1 - 10 - 9 - 8 - 19 "," 16 "," 2 "," "

" 2/4/2015 "," 1 - 10 - 9 - 7 - 18 "," 17 "," 2 "," "

" 1/31/2015 "," 1 - 10 - 9 - 6 - 17 "," 18 "," 2 "," "

" 1/28/2015 "," 1 - 10 - 9 - 5 - 16 "," 19 "," 2 "," "

" 1/24/2015 "," 1 - 10 - 9 - 4 - 15 "," 20 "," 2 "," "

" 1/21/2015 "," 1 - 10 - 9 - 3 - 14 "," 21 "," 2 "," "

" 1/17/2015 "," 1 - 10 - 9 - 2 - 13 "," 22 "," 2 "," "

" 1/14/2015 "," 1 - 10 - 9 - 1 - 12 "," 23 "," 2 "," "

" 1/10/2015 "," 1 - 10 - 9 - 0 - 11 "," 24 "," 2 "," "

